基礎攻撃力表
Lv	シレン基礎攻撃力
1	5
2	6
3	8
4	10
5	12
6	14
7	16
8	18
9	20
10	22
11	24
12	26
13	28
14	30
15	32
16	34
17	36
18	38
19	40
20	42
21	44
22	46
23	48
24	50
25	52
26	54
27	56
28	58
29	60
30	62
31	64
32	66
33	68
34	70
35	72
36	74
37	76
38	78
39	80
40	82
41	84
42	85
43	86
44	87
45	88
46	89
47	90
48	91
49	92
50	93
51	94
52	95
53	96
54	97
55	98
56	99
57	100
58	101
59	102
60	103
61	104
62	105
63	106
64	107
65	108
66	109
67	110
68	111
69	112
70	113
71	114
72	115
73	116
74	117
75	118
76	119
77	120
78	121
79	122
80	123
81	124
82	125
83	126
84	127
85	128
86	129
87	130
88	131
89	132
90	133
91	134
92	135
93	136
94	137
95	138
96	139
97	140
98	141
99	145
