モンスター名,HP,攻撃,守備,種1,種2
マムル,5,2,2,0,0
あなぐらマムル,8,4,4,0,0
どうくつマムル,5,50,55,0,0
ドラゴン,80,37,38,0,64
スカイドラゴン,85,45,43,0,64
アークドラゴン,110,55,55,0,64
ガマラ,11,0,29,0,1
ガマグッチ,16,0,35,0,1
ガマゴン,40,0,65,0,1
ぬすっトド,15,0,10,0,1
みどりトド,20,0,30,0,1
アイアントド,36,0,55,0,1
くねくねハニー,50,30,30,0,2
タウロス,130,70,60,8,8
ミノタウロス,150,80,68,8,8
メガタウロス,165,110,75,8,8
にぎりみならい,12,5,6,0,0
にぎりへんげ,28,12,11,0,0
にぎり親方,55,24,20,0,0
にぎりもとじめ,70,55,40,0,0
ゲイズ,19,9,11,0,16
スーパーゲイズ,50,32,35,0,16
ハイパーゲイズ,100,63,55,0,16
チンタラ,6,3,3,0,0
ちゅうチンタラ,15,9,10,0,0
おおチンタラ,60,39,39,0,0
デブータ,70,15,26,0,8
デブーチョ,105,55,60,0,8
デブートン,120,60,63,0,8
ケンゴウ,42,19,19,8,0
イアイ,80,69,48,8,0
シハン,125,90,65,8,0
しおいやん,11,4,6,0,2
まじしおいやん,40,10,18,0,2
しおやだん,70,38,41,0,2
しおかんべん,65,45,40,0,2
ンドゥバ,23,10,7,0,0
ンドゥバ2才,26,11,8,0,0
ンドゥバ3才,28,12,9,0,0
ンドゥバ4才,30,13,10,0,0
ンドゥバ5才,32,14,11,0,0
ンドゥバ6才,34,15,12,0,0
ンドゥバ7才,36,16,13,0,0
ンドゥバ8才,38,17,14,0,0
ンドゥバ9才,40,18,15,0,0
ンドゥバ10才,43,19,16,0,0
ンドゥバ11才,45,20,17,0,0
ンドゥバ12才,49,21,18,0,0
ンドゥバ13才,52,22,19,0,0
ンドゥバ14才,55,23,20,0,0
ンドゥバ15才,57,24,22,0,0
ンドゥバ16才,59,25,21,0,0
ンドゥバ17才,61,26,22,0,0
ンドゥバ18才,63,27,23,0,0
ンドゥバ19才,65,28,24,0,0
ンドゥバはたち,67,29,25,0,0
ンドゥバ21才,69,30,26,0,0
ンドゥバ22才,71,31,27,0,0
ンドゥバ23才,73,32,28,0,0
ンドゥバ24才,75,33,29,0,0
ンドゥバ25才,76,34,30,0,0
ンドゥバ26才,77,35,31,0,0
ンドゥバ27才,78,36,32,0,0
ンドゥバ28才,79,37,33,0,0
ンドゥバ29才,80,38,34,0,0
ンドゥバみそじ,81,39,35,0,0
ンドゥバ31才,82,40,36,0,0
ンドゥバ32才,83,41,37,0,0
ンドゥバ33才,84,42,38,0,0
ンドゥバ34才,85,43,39,0,0
ンドゥバ35才,86,44,40,0,0
ンドゥバ36才,87,45,40,0,0
ンドゥバ37才,88,46,40,0,0
ンドゥバ38才,89,47,40,0,0
ンドゥバ39才,90,48,40,0,0
ンドゥバ40才,91,49,40,0,0
ンドゥバ41才,92,50,40,0,0
ンドゥバ42才,93,51,40,0,0
ンドゥバ43才,94,52,40,0,0
ンドゥバ44才,95,54,40,0,0
ンドゥバ45才,96,56,45,0,0
ンドゥバ46才,97,58,45,0,0
ンドゥバ47才,98,60,45,0,0
ンドゥバ48才,99,62,45,0,0
ンドゥバ49才,100,64,45,0,0
ンドゥバ50才,100,66,45,0,0
ンドゥバ51才,100,68,45,0,0
ンドゥバ52才,100,70,45,0,0
ンドゥバ53才,100,72,45,0,0
ンドゥバ54才,100,74,45,0,0
ンドゥバ55才,100,76,45,0,0
ンドゥバ56才,100,78,45,0,0
ンドゥバ57才,100,80,45,0,0
ンドゥバ58才,100,82,45,0,0
ンドゥバ59才,100,84,45,0,0
ンドゥバかんれき,100,86,45,0,0
ンドゥバ61才,100,88,45,0,0
ンドゥバ62才,100,90,45,0,0
ンドゥバ63才,100,92,45,0,0
ンドゥバ64才,100,94,45,0,0
ンドゥバ65才,100,96,50,0,0
ンドゥバ66才,100,98,50,0,0
ンドゥバ67才,100,100,50,0,0
ンドゥバ68才,100,102,50,0,0
ンドゥバ69才,100,104,50,0,0
ンドゥバこき,100,106,50,0,0
ンドゥバ71才,100,108,50,0,0
ンドゥバ72才,100,110,50,0,0
ンドゥバ73才,100,112,50,0,0
ンドゥバ74才,100,114,50,0,0
ンドゥバ75才,100,116,50,0,0
ンドゥバ76才,100,118,50,0,0
ンドゥバきじゅ,100,120,50,0,0
ンドゥバ78才,100,121,50,0,0
ンドゥバ79才,100,122,50,0,0
ンドゥバ80才,100,123,50,0,0
ンドゥバ81才,100,124,50,0,0
ンドゥバ82才,100,125,50,0,0
ンドゥバ83才,100,126,50,0,0
ンドゥバ84才,100,127,50,0,0
ンドゥバ85才,100,128,50,0,0
ンドゥバ86才,100,129,50,0,0
